ID,BUSINESS_NAME,PROPERTY_ADDRESS,CITY,STATE,COUNTRY,FULL_ADDRESS,STATUS,NOTES
2,OASIS IRRIGATION SYSTEMS,4958 WINTERS CHAPEL ROAD,DUNWOODY,GEORGIA,USA,"4958 WINTERS CHAPEL ROAD DUNWOODY, GEORGIA USA",,
7,"PREMO PROPERTY GROUP, LLC",1858 INDEPENDENCE SQUARE D,DUNWOODY,GEORGIA,USA,"1858 INDEPENDENCE SQUARE D DUNWOODY, GEORGIA USA",,
13,BILL GRANT PROPERTIES INC,1711-A MT VERNON RD,DUNWOODY,GEORGIA,USA,"1711-A MT VERNON RD DUNWOODY, GEORGIA USA",,
18,ALLIED CONSTRUCTION CO,4514 CHAMBLEE DUNWOODY RD 176,DUNWOODY,GEORGIA,USA,"4514 CHAMBLEE DUNWOODY RD 176 DUNWOODY, GEORGIA USA",,
42,ONEIDA BUILDERS INC,4675 N SHALLOWFORD RD 200,DUNWOODY,GEORGIA,USA,"4675 N SHALLOWFORD RD 200 DUNWOODY, GEORGIA USA",,
44,PORTIS BUILDING & INTERIORS,4681 N SHALLOWFORD RD,DUNWOODY,GEORGIA,USA,"4681 N SHALLOWFORD RD DUNWOODY, GEORGIA USA",,
70,DUNWOODY'S CHOICE HVAC,1340 CENTER DR 204,DUNWOODY,GEORGIA,USA,"1340 CENTER DR 204 DUNWOODY, GEORGIA USA",,
80,HPP MANAGEMENT CORP,3 DUNWOODY PARK 103,DUNWOODY,GEORGIA,USA,"3 DUNWOODY PARK 103 DUNWOODY, GEORGIA USA",,
97,JUDY'S ALTERATION,4511 CHAMBLEE DUNWOODY RD C-3,DUNWOODY,GEORGIA,USA,"4511 CHAMBLEE DUNWOODY RD C-3 DUNWOODY, GEORGIA USA",,
98,THE ALTERATION SCENE,2482 JETT FERRY RD,DUNWOODY,GEORGIA,USA,"2482 JETT FERRY RD DUNWOODY, GEORGIA USA",,
106,DUNWOODY ATLANTA PRINTING,1720 MT VERNON RD,DUNWOODY,GEORGIA,USA,"1720 MT VERNON RD DUNWOODY, GEORGIA USA",,
117,ANALYTICS IQ,115 PERIMETER CENTER PL 635,DUNWOODY,GEORGIA,USA,"115 PERIMETER CENTER PL 635 DUNWOODY, GEORGIA USA",,
123,PURCHASING PARTNERS INC,2398 MOUNT VERNON RD 200,DUNWOODY,GEORGIA,USA,"2398 MOUNT VERNON RD 200 DUNWOODY, GEORGIA USA",,
138,KAMIN & ASSOCIATES INC,1843 PEELER RD,DUNWOODY,GEORGIA,USA,"1843 PEELER RD DUNWOODY, GEORGIA USA",,
140,DAVIS ENERGY PRODUCTS INC,1876 INDEPENDENCE SQ C,DUNWOODY,GEORGIA,USA,"1876 INDEPENDENCE SQ C DUNWOODY, GEORGIA USA",,
145,SCIENTIFIC POLYMERS INC,1534 DUNWOODY VILLAGE PKY 225,DUNWOODY,GEORGIA,USA,"1534 DUNWOODY VILLAGE PKY 225 DUNWOODY, GEORGIA USA",,
148,SESBELLA,1320 CENTER DRIVE 202,DUNWOODY,GEORGIA,USA,"1320 CENTER DRIVE 202 DUNWOODY, GEORGIA USA",,
149,MASON & ELMORE SALES CO,2394 MT VERNON ROAD 100,DUNWOODY,GEORGIA,USA,"2394 MT VERNON ROAD 100 DUNWOODY, GEORGIA USA",,
151,CMPC USA INC,1040 CROWN POINTE PKWY 800,DUNWOODY,GEORGIA,USA,"1040 CROWN POINTE PKWY 800 DUNWOODY, GEORGIA USA",,
157,WFN ENTERPRISES INC,5579-B CHAMBLEE DUNWOODY RD 21,DUNWOODY,GEORGIA,USA,"5579-B CHAMBLEE DUNWOODY RD 21 DUNWOODY, GEORGIA USA",,
164,HADDON MCCLELLAN ASSOCIATES P,1838 INDEPENDENCE SQ B,DUNWOODY,GEORGIA,USA,"1838 INDEPENDENCE SQ B DUNWOODY, GEORGIA USA",,
165,NEW SOUTH POLYMERS INC,1340 CENTER DRIVE 101,DUNWOODY,GEORGIA,USA,"1340 CENTER DRIVE 101 DUNWOODY, GEORGIA USA",,
168,EUROWERKS,1250 DUNWOODY VILLAGE PKW,DUNWOODY,GEORGIA,USA,"1250 DUNWOODY VILLAGE PKW DUNWOODY, GEORGIA USA",,
170,FIRESTONE COMPLETE AUTO CARE,201 PERIMETER CENTER PKY A,DUNWOODY,GEORGIA,USA,"201 PERIMETER CENTER PKY A DUNWOODY, GEORGIA USA",,
175,SOUTHERN COMFORTS,2510 MT VERNON RD,DUNWOODY,GEORGIA,USA,"2510 MT VERNON RD DUNWOODY, GEORGIA USA",,
177,LAZY BOY FURNITURE GALLERY,4551 OLDE PERIMETER WAY,DUNWOODY,GEORGIA,USA,"4551 OLDE PERIMETER WAY DUNWOODY, GEORGIA USA",,
183,HAVERTY FURNITURE COMPANIES,132 PERIMETER CTR W,DUNWOODY,GEORGIA,USA,"132 PERIMETER CTR W DUNWOODY, GEORGIA USA",,
189,SUR LA TABLE,4400 ASHFORD DUNWOODY RD 2310,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 2310 DUNWOODY, GEORGIA USA",,
190,BED BATH & BEYOND #57,130 PERIMETER CENTER W,DUNWOODY,GEORGIA,USA,"130 PERIMETER CENTER W DUNWOODY, GEORGIA USA",,
193,T MOBILE,4400 ASHFORD DUNWOODY RD 1445,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1445 DUNWOODY, GEORGIA USA",,
195,T MOBILE,1161 HAMMOND DR,DUNWOODY,GEORGIA,USA,"1161 HAMMOND DR DUNWOODY, GEORGIA USA",,
198,VERIZON WIRELESS,123 PERIMETER CENTER WES,DUNWOODY,GEORGIA,USA,"123 PERIMETER CENTER WES DUNWOODY, GEORGIA USA",,
199,T MOBILE,1 RAVINIA DR,DUNWOODY,GEORGIA,USA,"1 RAVINIA DR DUNWOODY, GEORGIA USA",,
204,APPLE INC,4400 ASHFORD DUNWOODY RD 2395,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 2395 DUNWOODY, GEORGIA USA",,
206,THE SHERWIN WILLIAMS CO #3300,4490 CHAMBLEE DUNWOODY RD C,DUNWOODY,GEORGIA,USA,"4490 CHAMBLEE DUNWOODY RD C DUNWOODY, GEORGIA USA",,
207,WORKBENCH ACE HARDWARE,1316 DUNWOODY VILLAGE PKW,DUNWOODY,GEORGIA,USA,"1316 DUNWOODY VILLAGE PKW DUNWOODY, GEORGIA USA",,
209,PELLA WINDOW & DOOR OF GA INC,4772 ASHFORD DUNWOODY RD 300,DUNWOODY,GEORGIA,USA,"4772 ASHFORD DUNWOODY RD 300 DUNWOODY, GEORGIA USA",,
210,BIG JOHN'S CHRISTMAS TREES IN,5419 CHAMBLEE DUNWOODY RD,DUNWOODY,GEORGIA,USA,"5419 CHAMBLEE DUNWOODY RD DUNWOODY, GEORGIA USA",,
212,MEXICAN SUPERMARKET LLC,6806 PEACHTREE IND. BLVD 1-A,DUNWOODY,GEORGIA,USA,"6806 PEACHTREE IND. BLVD 1-A DUNWOODY, GEORGIA USA",,
214,INDIAN BAZAAR,4639 N SHALLOWFORD RD,DUNWOODY,GEORGIA,USA,"4639 N SHALLOWFORD RD DUNWOODY, GEORGIA USA",,
216,THE FRESH MARKET,5515 CHAMBLEE DUNWOODY RD,DUNWOODY,GEORGIA,USA,"5515 CHAMBLEE DUNWOODY RD DUNWOODY, GEORGIA USA",,
217,KROGER CO #210,4498 CHAMBLEE DUNWOODY RD,DUNWOODY,GEORGIA,USA,"4498 CHAMBLEE DUNWOODY RD DUNWOODY, GEORGIA USA",,
218,PUBLIX SUPER MARKETS INC #765,5550 CHAMBLEE DUNWOODY RD,DUNWOODY,GEORGIA,USA,"5550 CHAMBLEE DUNWOODY RD DUNWOODY, GEORGIA USA",,
219,EXITOS LATINOS,6806 PEACHTREE IND. BLVD C,DUNWOODY,GEORGIA,USA,"6806 PEACHTREE IND. BLVD C DUNWOODY, GEORGIA USA",,
220,BP GAS STATION,4485 CHAMBLEE DUNWOODY RD,DUNWOODY,GEORGIA,USA,"4485 CHAMBLEE DUNWOODY RD DUNWOODY, GEORGIA USA",,
221,BP GAS STATION,5418 CHAMBLEE DUNWOODY RD,DUNWOODY,GEORGIA,USA,"5418 CHAMBLEE DUNWOODY RD DUNWOODY, GEORGIA USA",,
222,CIRCLE M #32,77 PERIMETER CTR E,DUNWOODY,GEORGIA,USA,"77 PERIMETER CTR E DUNWOODY, GEORGIA USA",,
223,CHEVRON FOOD MART,4249 DUNWOODY CLUB DRIVE,DUNWOODY,GEORGIA,USA,"4249 DUNWOODY CLUB DRIVE DUNWOODY, GEORGIA USA",,
225,PROCTOR PRODUCE,2490 JETT FERRY RD,DUNWOODY,GEORGIA,USA,"2490 JETT FERRY RD DUNWOODY, GEORGIA USA",,
227,SEE'S CANDY SHOP,4400 ASHFORD DUNWOODY RD 5548,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 5548 DUNWOODY, GEORGIA USA",,
228,GODIVA CHOCOLATIER INC,4400 ASHFORD DUNWOODY RD 1445,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 1445 DUNWOODY, GEORGIA USA",,
232,TEAVANA #28433,4400 ASHFORD DUNWOODY RD 2230,DUNWOODY,GEORGIA,USA,"4400 ASHFORD DUNWOODY RD 2230 DUNWOODY, GEORGIA USA",,
236,TOTAL WINE & MORE,124 PERIMETER CENTER WES,DUNWOODY,GEORGIA,USA,"124 PERIMETER CENTER WES DUNWOODY, GEORGIA USA",,
238,CARLTON'S PHARMACY,5484 CHAMBLEE DUNWOODY RD,DUNWOODY,GEORGIA,USA,"5484 CHAMBLEE DUNWOODY RD DUNWOODY, GEORGIA USA",,
